iter	Logloss
0	0.6923355204
1	0.6915372721
2	0.6907785848
3	0.690046641
4	0.6893057861
5	0.6885988871
6	0.6878867289
7	0.6871902059
8	0.6865315043
9	0.6858329163
10	0.6851526388
11	0.6844859517
12	0.6838549805
13	0.6832220052
14	0.6826296234
15	0.6820381571
16	0.681441335
17	0.6808798523
18	0.680315801
19	0.6797825368
20	0.6792671254
21	0.6787529958
22	0.6782547048
23	0.6777491557
24	0.6772672984
25	0.6767862803
26	0.6763019918
27	0.675847875
28	0.6753948924
29	0.6749516296
30	0.6745189819
31	0.6740739339
32	0.6736556396
33	0.6732294261
34	0.6728308055
35	0.672415507
36	0.6720428212
37	0.6716476084
38	0.6712626902
39	0.6709000956
40	0.6705522563
41	0.6701884664
42	0.6698462016
43	0.6695062612
44	0.6691522064
45	0.6688323364
46	0.6685134786
47	0.6682021484
48	0.6679041138
49	0.6675920359
50	0.6672821655
51	0.6669804077
52	0.6666674957
53	0.6663762868
54	0.6661240031
55	0.6658389842
56	0.6655576731
57	0.6652702891
58	0.6650209198
59	0.6647354838
60	0.6644669495
61	0.6642048696
62	0.6639635773
63	0.6637218221
64	0.6635084585
65	0.6633000539
66	0.6630993398
67	0.6628672638
68	0.6626718241
69	0.662470754
70	0.6622644094
71	0.6620550537
72	0.661837087
73	0.6616372172
74	0.6614629873
75	0.6613056997
76	0.6611259613
77	0.6609528503
78	0.660790156
79	0.6606251628
80	0.6604506378
81	0.6602728678
82	0.6601115112
83	0.6599411112
84	0.659785909
85	0.6596234182
86	0.6594805501
87	0.6593294932
88	0.6591873118
89	0.6590454051
90	0.6589306539
91	0.6587808278
92	0.6586228129
93	0.658466807
94	0.6583275909
95	0.6581894023
96	0.6580522003
97	0.6579401093
98	0.6578099721
99	0.6576780752
100	0.6575637004
101	0.6574513143
102	0.6573333995
103	0.657223409
104	0.6571279449
105	0.6570216929
106	0.6569078267
107	0.6568022359
108	0.6566920166
109	0.6565756073
110	0.6564723867
111	0.6563678182
112	0.6562615306
113	0.6561704865
114	0.6560805817
115	0.6559898682
116	0.6558894653
117	0.6558051046
118	0.6557121429
119	0.6556246694
120	0.65553685
121	0.6554512075
122	0.6553522593
123	0.6552633616
124	0.6551614939
125	0.6550828807
126	0.6549968211
127	0.6549083455
128	0.6548167216
129	0.6547289785
130	0.6546507772
131	0.6545858612
132	0.6545173187
133	0.6544492238
134	0.6543810476
135	0.6543014933
136	0.65423909
137	0.6541659444
138	0.6540993449
139	0.6540126851
140	0.653949763
141	0.6538826548
142	0.6538158976
143	0.6537570292
144	0.6536971283
145	0.6536232249
146	0.6535618846
147	0.6534928945
148	0.6534319814
149	0.6533743439
150	0.6533044128
151	0.6532388662
152	0.6531848806
153	0.6531300608
154	0.6530785116
155	0.6530129089
156	0.6529553477
157	0.6528890432
158	0.6528229879
159	0.652776652
160	0.6527242788
161	0.6526782888
162	0.6526230316
163	0.6525738118
164	0.6525280457
165	0.6524728444
166	0.6524145813
167	0.6523640645
168	0.6523165588
169	0.6522694651
170	0.6522162069
171	0.6521689606
172	0.6521217753
173	0.6520722148
174	0.6520260468
175	0.6519777476
176	0.6519275564
177	0.6518849589
178	0.6518370107
179	0.6517922109
180	0.6517581685
181	0.6517065379
182	0.6516595357
183	0.6516271922
184	0.6515800578
185	0.6515358887
186	0.651493159
187	0.6514480896
188	0.6514129995
189	0.6513779653
190	0.6513333028
191	0.6512897441
192	0.6512494965
193	0.6512115835
194	0.6511716359
195	0.6511181539
196	0.6510775096
197	0.6510518494
198	0.6510250702
199	0.6509910482
200	0.6509603373
201	0.6509292043
202	0.6508922373
203	0.6508577423
204	0.6508315481
205	0.6507946574
206	0.6507677612
207	0.6507328746
208	0.6506977386
209	0.650666509
210	0.6506293284
211	0.6506032817
212	0.6505764974
213	0.6505396067
214	0.6505076701
215	0.6504719747
216	0.6504334005
217	0.6504034373
218	0.650375295
219	0.6503412832
220	0.6503183187
221	0.6502798564
222	0.6502493896
223	0.6502175344
224	0.6501919454
225	0.6501607005
226	0.6501319021
227	0.650103007
228	0.6500730642
229	0.6500407461
230	0.650014094
231	0.6499880422
232	0.6499519297
233	0.6499281769
234	0.6498939616
235	0.6498614909
236	0.6498358154
237	0.649800944
238	0.6497699432
239	0.6497416128
240	0.649709137
241	0.6496761831
242	0.6496464539
243	0.6496164754
244	0.649587148
245	0.6495612132
246	0.6495327403
247	0.6495109965
248	0.6494815928
249	0.6494597321
250	0.6494304301
251	0.6494002736
252	0.6493687083
253	0.6493345133
254	0.6492913615
255	0.649267512
256	0.6492447662
257	0.6492090047
258	0.6491913757
259	0.6491700338
260	0.6491461843
261	0.6491205037
262	0.6490976003
263	0.6490699209
264	0.6490425975
265	0.6490222727
266	0.6489965617
267	0.6489772034
268	0.6489467265
269	0.6489298757
270	0.648908961
271	0.6488850708
272	0.648855128
273	0.6488318939
274	0.6488052114
275	0.6487670339
276	0.6487484843
277	0.648725235
278	0.648704071
279	0.6486801249
280	0.6486599833
281	0.6486436462
282	0.6486130117
283	0.6485902659
284	0.6485603282
285	0.6485480347
286	0.6485324605
287	0.6485048167
288	0.6484854736
289	0.648466451
290	0.6484424744
291	0.6484222005
292	0.6484080861
293	0.6483850505
294	0.6483628642
295	0.6483367767
296	0.6483116964
297	0.6482876383
298	0.6482606455
299	0.6482430013
300	0.6482224172
301	0.6482024231
302	0.6481828918
303	0.6481619924
304	0.6481400859
305	0.6481187185
306	0.6480997416
307	0.6480834605
308	0.6480632629
309	0.6480405731
310	0.6480157115
311	0.6479927012
312	0.6479695282
313	0.6479437815
314	0.6479199015
315	0.6479032644
316	0.6478869273
317	0.6478611705
318	0.647843221
319	0.6478220215
320	0.6478017426
321	0.647778478
322	0.6477617391
323	0.6477455393
324	0.6477227987
325	0.6477116191
326	0.6476820526
327	0.6476617991
328	0.6476479238
329	0.6476289368
330	0.6476055247
331	0.6475858765
332	0.6475707448
333	0.6475435079
334	0.6475257161
335	0.6475022125
336	0.6474884847
337	0.6474739838
338	0.6474589233
339	0.6474318288
340	0.6474095103
341	0.6473870544
342	0.6473601685
343	0.6473407745
344	0.6473259125
345	0.6473091227
346	0.6472887929
347	0.647276769
348	0.6472516174
349	0.6472188161
350	0.6472053324
351	0.6471807048
352	0.6471569926
353	0.6471440633
354	0.64712736
355	0.6471121928
356	0.647091568
357	0.6470670013
358	0.6470578003
359	0.6470405324
360	0.6470258586
361	0.6470039317
362	0.646985906
363	0.6469700826
364	0.6469496663
365	0.6469374898
366	0.6469142049
367	0.6468941498
368	0.6468662211
369	0.6468448283
370	0.6468237864
371	0.6468005625
372	0.6467844289
373	0.646761027
374	0.6467466583
375	0.6467300771
376	0.6467063141
377	0.6466862844
378	0.6466744486
379	0.6466522013
380	0.646639801
381	0.6466232249
382	0.6466085358
383	0.6465929565
384	0.6465757141
385	0.6465567474
386	0.6465357005
387	0.6465204569
388	0.6465064138
389	0.6464890442
390	0.6464715474
391	0.6464551188
392	0.6464339091
393	0.6464167582
394	0.6463952179
395	0.6463838399
396	0.6463610026
397	0.6463420919
398	0.6463267721
399	0.646307724
400	0.6462930094
401	0.6462784017
402	0.6462595571
403	0.6462375539
404	0.6462250163
405	0.6462085826
406	0.6461936239
407	0.6461751353
408	0.646149175
409	0.6461317393
410	0.6461187134
411	0.6460989482
412	0.6460799917
413	0.646059672
414	0.646044459
415	0.6460271657
416	0.6460158386
417	0.6460024465
418	0.6459862569
419	0.645968338
420	0.645957194
421	0.6459431763
422	0.645925354
423	0.6459126994
424	0.6458942769
425	0.6458818105
426	0.6458669179
427	0.6458521779
428	0.6458377228
429	0.645824529
430	0.6458067627
