iter	Passed	Remaining
0	8	8741
1	21	10568
2	31	10345
3	40	10102
4	50	10020
5	59	9876
6	69	9859
7	79	9837
8	89	9822
9	98	9799
10	107	9630
11	119	9840
12	128	9753
13	139	9822
14	150	9904
15	159	9817
16	168	9725
17	177	9694
18	185	9578
19	194	9541
20	202	9457
21	214	9533
22	222	9452
23	233	9478
24	244	9527
25	252	9446
26	262	9454
27	273	9487
28	285	9544
29	294	9523
30	306	9573
31	315	9543
32	326	9557
33	338	9618
34	347	9577
35	358	9587
36	371	9657
37	379	9610
38	389	9586
39	397	9533
40	407	9524
41	415	9475
42	430	9572
43	442	9603
44	450	9565
45	459	9537
46	469	9521
47	478	9497
48	489	9493
49	497	9451
50	508	9455
51	518	9447
52	526	9406
53	536	9392
54	545	9368
55	555	9370
56	567	9396
57	576	9356
58	586	9351
59	595	9323
60	605	9318
61	614	9296
62	622	9264
63	632	9250
64	642	9239
65	652	9238
66	660	9201
67	670	9191
68	678	9161
69	688	9147
70	702	9188
71	711	9164
72	719	9132
73	728	9111
74	737	9100
75	746	9070
76	755	9054
77	765	9046
78	772	9011
79	782	8994
80	792	8987
81	801	8972
82	812	8978
83	820	8950
84	830	8941
85	841	8947
86	854	8972
87	868	8997
88	880	9014
89	893	9031
90	900	8996
91	911	8998
92	922	8999
93	933	8993
94	947	9030
95	959	9038
96	968	9019
97	979	9012
98	990	9012
99	999	8996
100	1013	9024
101	1025	9025
102	1037	9038
103	1050	9048
104	1061	9048
105	1073	9051
106	1086	9067
107	1097	9064
108	1109	9071
109	1120	9067
110	1128	9041
111	1140	9039
112	1150	9034
113	1161	9026
114	1170	9011
115	1179	8986
116	1189	8980
117	1199	8962
118	1207	8939
119	1216	8922
120	1224	8895
121	1234	8883
122	1242	8857
123	1252	8850
124	1261	8828
125	1273	8830
126	1285	8837
127	1296	8829
128	1304	8807
129	1313	8791
130	1321	8769
131	1333	8767
132	1342	8751
133	1354	8752
134	1364	8740
135	1374	8735
136	1387	8739
137	1397	8731
138	1405	8708
139	1415	8696
140	1427	8697
141	1438	8692
142	1448	8679
143	1458	8670
144	1469	8664
145	1480	8657
146	1488	8637
147	1498	8627
148	1508	8616
149	1517	8597
150	1527	8585
151	1535	8564
152	1547	8565
153	1558	8560
154	1569	8556
155	1580	8553
156	1591	8544
157	1599	8523
158	1609	8513
159	1617	8492
160	1628	8486
161	1638	8477
162	1648	8466
163	1658	8453
164	1666	8435
165	1678	8430
166	1687	8417
167	1698	8413
168	1711	8413
169	1721	8403
170	1729	8385
171	1739	8371
172	1747	8354
173	1758	8349
174	1768	8339
175	1777	8320
176	1788	8317
177	1797	8301
178	1808	8295
179	1818	8283
180	1826	8265
181	1839	8267
182	1849	8256
183	1857	8237
